# index, name, nodeLabel, _pos
0,fkh,fkh,"array([-0.01182214,  0.68308832])"
1,CG6459,CG6459,"array([0.1630909 , 0.76501145])"
2,Tango9,Tango9,"array([0.47351513, 1.06613682])"
3,phr,phr,"array([0.61339356, 1.18097893])"
4,Noa36,Noa36,"array([-0.10017906,  0.89926761])"
5,CG11635,CG11635,"array([0.0084187 , 0.73532701])"
6,CG3062,CG3062,"array([-0.3210675 ,  0.87194321])"
7,CG10014,CG10014,"array([0.60163093, 0.73111801])"
8,Cam,Cam,"array([0.50156259, 0.94528142])"
9,drm,drm,"array([0.2082041 , 0.54561599])"
10,CG2316,CG2316,"array([0.3087751, 0.1759185])"
11,CG7101,CG7101,"array([-0.11336842,  0.65839347])"
12,bowl,bowl,"array([0.12100312, 0.92840282])"
13,NPC1b,NPC1b,"array([0.18513527, 0.70663309])"
14,CG12203,CG12203,"array([0.37078595, 0.69045133])"
15,CG14815,CG14815,"array([0.16834188, 0.72313047])"
16,CG10032,CG10032,"array([0.06443344, 0.90528679])"
17,CG9467,CG9467,"array([0.23915647, 0.95207352])"
18,brk,brk,"array([0.04290851, 0.92571003])"
19,CG9663,CG9663,"array([-0.23284639,  0.80819625])"
20,CG10035,CG10035,"array([-0.23670452,  1.18583545])"
21,CG17666,CG17666,"array([0.02469597, 0.86361222])"
22,CG10039,CG10039,"array([-0.50094049, -0.03479214])"
23,Sans,Sans,"array([-0.36062693,  0.13710182])"
24,MBD-R2,MBD-R2,"array([0.2795885 , 1.06620989])"
25,CG9288,CG9288,"array([0.15983284, 1.22691701])"
26,rtGEF,rtGEF,"array([0.01350475, 0.71121974])"
27,Pak,Pak,"array([0.04776888, 0.9560818 ])"
28,CG11345,CG11345,"array([-0.22976849,  0.81967671])"
29,CG11722,CG11722,"array([0.27601018, 0.54058349])"
30,CG11876,CG11876,"array([0.2955674 , 0.82907595])"
31,Git,Git,"array([0.11357511, 0.78081762])"
32,G-oalpha47A,G-oalpha47A,"array([0.18058376, 0.83108884])"
33,fws,fws,"array([-0.16706898,  0.92646856])"
34,GstD1,GstD1,"array([0.43850832, 0.46192357])"
35,CG10200,CG10200,"array([0.63097971, 0.18358142])"
36,sala,sala,"array([0.21564935, 0.63667314])"
37,Syt4,Syt4,"array([0.12935166, 1.42244896])"
38,CG9205,CG9205,"array([0.31440391, 1.10484843])"
39,CG10051,CG10051,"array([0.7475948 , 0.56816922])"
40,CG2767,CG2767,"array([0.53975246, 0.77964105])"
41,CG4461,CG4461,"array([0.50995317, 0.55975125])"
42,CG10053,CG10053,"array([0.32039703, 0.65931391])"
43,CG14354,CG14354,"array([0.53082968, 0.63668809])"
44,MAGE,MAGE,"array([0.25714726, 0.5567409 ])"
45,CG13142,CG13142,"array([-0.10795538,  0.59977426])"
46,Sas-4,Sas-4,"array([-0.15649575,  0.84511903])"
47,BEAF-32,BEAF-32,"array([0.04110123, 0.93446915])"
48,rl,rl,"array([0.1953476, 1.072127 ])"
49,cm,cm,"array([0.1584506 , 0.73185735])"
50,CtBP,CtBP,"array([0.13472706, 0.88839706])"
51,CG8010,CG8010,"array([-0.53432915,  0.79197457])"
52,CG10069,CG10069,"array([0.10402513, 0.36563972])"
53,slgA,slgA,"array([0.11943818, 0.61335399])"
54,emc,emc,"array([0.14168178, 1.08257368])"
55,prod,prod,"array([0.03460191, 0.9150397 ])"
56,HLH4C,HLH4C,"array([0.06844068, 0.78672767])"
57,sc,sc,"array([0.15652915, 1.06515503])"
58,RpL29,RpL29,"array([0.38157035, 0.73512654])"
59,Fps85D,Fps85D,"array([0.30138562, 0.67490058])"
60,CG10073,CG10073,"array([ 0.43967497, -3.70186484])"
61,CG11023,CG11023,"array([ 0.46656594, -3.74387356])"
62,CG10075,CG10075,"array([-0.07169267,  0.73904757])"
63,CG11322,CG11322,"array([-0.03407034,  0.93907459])"
64,spir,spir,"array([0.16863932, 1.23909562])"
65,CG14579,CG14579,"array([0.16540102, 1.60347544])"
66,sax,sax,"array([0.20138759, 1.12925394])"
67,bsk,bsk,"array([0.18434853, 0.98386201])"
68,Prat2,Prat2,"array([-0.19290572,  0.77551906])"
69,CG3332,CG3332,"array([0.02532302, 0.58833753])"
70,CG5734,CG5734,"array([-0.32644854,  0.59924413])"
71,Egfr,Egfr,"array([0.15425194, 1.08159532])"
72,veli,veli,"array([-0.2101257 ,  1.03555197])"
73,CG10080,CG10080,"array([0.52430309, 0.04931243])"
74,CG4983,CG4983,"array([0.39856471, 0.32201027])"
75,swm,swm,"array([0.79949323, 0.51877527])"
76,Pabp2,Pabp2,"array([0.48852591, 0.69134029])"
77,CG10086,CG10086,"array([-0.24437477,  0.74725663])"
78,CG10918,CG10918,"array([-0.09574675,  0.6645675 ])"
79,MED19,MED19,"array([-0.01540424,  0.81534305])"
80,CG7180,CG7180,"array([-0.58702257,  0.67621713])"
81,cg,cg,"array([-0.11885471,  0.92311425])"
82,CG10103,CG10103,"array([0.3754403 , 0.90035062])"
83,CG12082,CG12082,"array([0.63720319, 0.97603889])"
84,Traf-like,Traf-like,"array([0.02190836, 0.76906986])"
85,Vps4,Vps4,"array([0.42737028, 0.98432932])"
86,phyl,phyl,"array([0.16714815, 0.90626074])"
87,sinah,sinah,"array([0.03622931, 0.78196223])"
88,14-3-3zeta,14-3-3zeta,"array([0.28100962, 0.86093155])"
89,ttk,ttk,"array([0.08377691, 0.93057917])"
90,eco,eco,"array([0.12228975, 0.59618242])"
91,sina,sina,"array([0.13622379, 1.00272713])"
92,L,L,"array([0.16255198, 1.25088191])"
93,Cks30A,Cks30A,"array([-0.03322228,  1.07503233])"
94,CG5274,CG5274,"array([-0.06399165,  1.19527876])"
95,Cpr51A,Cpr51A,"array([-0.23779588,  0.72729699])"
96,CG11984,CG11984,"array([0.07167438, 0.73846098])"
97,ple,ple,"array([-0.0598125 ,  0.75561216])"
98,CG10126,CG10126,"array([0.08533755, 0.48432249])"
99,ced-6,ced-6,"array([0.16757133, 0.30933695])"
100,crn,crn,"array([0.05337099, 0.73379465])"
101,tra2,tra2,"array([-0.09529921,  0.83949777])"
102,Doa,Doa,"array([-0.01436973,  0.91839464])"
103,Rbp1,Rbp1,"array([0.08596443, 0.85473254])"
104,CG10137,CG10137,"array([-0.69219951,  0.79195113])"
105,ATPCL,ATPCL,"array([-0.38950561,  0.82445084])"
106,PpD5,PpD5,"array([4.44811499, 2.32562711])"
107,CG18666,CG18666,"array([4.46330676, 2.27885819])"
108,CG10139,CG10139,"array([-0.04234375,  0.72722363])"
109,fd68A,fd68A,"array([0.17358693, 0.69439631])"
110,CG17765,CG17765,"array([0.21518097, 0.81335185])"
111,hug,hug,"array([-0.37987965,  0.48591962])"
112,Src64B,Src64B,"array([0.15784787, 0.94185033])"
113,Sry-beta,Sry-beta,"array([0.17223558, 0.86890932])"
114,robl62A,robl62A,"array([0.40821999, 0.05187453])"
115,CG10834,CG10834,"array([ 0.4835006 , -0.17376461])"
116,CG10927,CG10927,"array([0.30395039, 0.44608962])"
117,CG10144,CG10144,"array([0.81397698, 1.10102271])"
118,Dcp1,Dcp1,"array([0.47429926, 0.93532351])"
119,Rpn6,Rpn6,"array([0.39327151, 0.87636677])"
120,CSN4,CSN4,"array([0.19221935, 0.80508279])"
121,CG10151,CG10151,"array([-0.35525346,  1.46968716])"
122,CG4270,CG4270,"array([-0.13928842,  1.25096599])"
123,CG10153,CG10153,"array([0.7026389 , 0.70728954])"
124,CG5161,CG5161,"array([0.8454561, 0.575795 ])"
125,CG9577,CG9577,"array([0.45681736, 0.78847782])"
126,CG10154,CG10154,"array([0.1337193 , 0.84700179])"
127,CG42856,CG42856,"array([-0.04923012,  0.60328956])"
128,CG17824,CG17824,"array([-0.0501693 ,  0.88141539])"
129,Spred,Spred,"array([0.30108942, 0.63216553])"
130,\"ms(3)K81\",\"ms(3)K81\","array([0.23354086, 0.33646818])"
131,CG10157,CG10157,"array([-0.34046445,  0.84940137])"
132,lig3,lig3,"array([-0.12651584,  1.03908099])"
133,CG31038,CG31038,"array([-0.10643928,  0.89226945])"
134,CG10158,CG10158,"array([0.20374085, 0.57454019])"
135,CG17494,CG17494,"array([0.24088522, 0.64564086])"
136,katanin-60,katanin-60,"array([0.14736137, 0.95389493])"
137,CG10650,CG10650,"array([-0.04986794,  0.79193445])"
138,CG31672,CG31672,"array([-0.09946496,  1.02570202])"
139,ImpL3,ImpL3,"array([0.39471278, 0.93968179])"
140,CG17029,CG17029,"array([0.7249167 , 1.15351559])"
141,eIF-3p66,eIF-3p66,"array([-0.16781091,  0.81754041])"
142,CG2061,CG2061,"array([0.12649347, 0.68083202])"
143,CG10164,CG10164,"array([0.01204489, 0.88242156])"
144,RpII18,RpII18,"array([0.06427634, 1.17466759])"
145,CG12470,CG12470,"array([0.1036305 , 0.74414913])"
146,msps,msps,"array([0.14324255, 1.13848911])"
147,CG7488,CG7488,"array([-0.10398006,  0.65731079])"
148,Mfap1,Mfap1,"array([-0.03097215,  0.65866862])"
149,Rcd5,Rcd5,"array([0.0487625 , 0.81278685])"
150,Drep-2,Drep-2,"array([0.21809651, 0.64800322])"
