# index, name, _pos
0,3,"array([3.63366619, 1.74287536])"
1,1802,"array([3.56742475, 1.77105119])"
2,8,"array([4.77797766, 1.48994201])"
3,1001,"array([4.82450856, 1.55312067])"
4,2985,"array([4.66918607, 1.47126119])"
5,518,"array([4.71229768, 1.4346017 ])"
6,455,"array([4.71272667, 1.4660292 ])"
7,5588,"array([4.87293402, 1.51333649])"
8,390,"array([4.8227928 , 1.57436498])"
9,4888,"array([4.90952399, 1.42753136])"
10,1430,"array([4.67464292, 1.39071516])"
11,61,"array([4.68398626, 1.51254165])"
12,377,"array([4.69327832, 1.45324478])"
13,4512,"array([4.9252805 , 1.46030921])"
14,3877,"array([4.83738314, 1.57878183])"
15,5102,"array([4.69555944, 1.44575796])"
16,1244,"array([4.70059398, 1.48104389])"
17,5501,"array([4.74802834, 1.36667637])"
18,4637,"array([4.68624362, 1.45430695])"
19,1075,"array([4.70042334, 1.52722136])"
20,3281,"array([4.74451676, 1.48431225])"
21,3978,"array([4.76699426, 1.51431407])"
22,2119,"array([4.72922278, 1.46192377])"
23,5127,"array([4.83976672, 1.4984716 ])"
24,5598,"array([4.81291771, 1.54103503])"
25,5297,"array([4.87701075, 1.52466408])"
26,1032,"array([4.74549326, 1.56208713])"
27,4918,"array([4.84089339, 1.56832776])"
28,2339,"array([4.83335384, 1.55030167])"
29,958,"array([4.79931266, 1.55521014])"
30,1847,"array([4.74365439, 1.38461666])"
31,1515,"array([4.81357132, 1.55876159])"
32,3604,"array([4.71690191, 1.49137249])"
33,3704,"array([4.83015426, 1.53509288])"
34,252,"array([4.78324581, 1.4800157 ])"
35,3760,"array([4.77035028, 1.4916847 ])"
36,1638,"array([4.73842325, 1.46572515])"
37,3386,"array([4.78824924, 1.55119651])"
38,1830,"array([4.73119864, 1.51348831])"
39,5198,"array([4.83193145, 1.56065849])"
40,3615,"array([4.81824326, 1.52455718])"
41,4981,"array([4.70808646, 1.47591147])"
42,2461,"array([4.78211858, 1.53036014])"
43,4128,"array([4.82585597, 1.54439422])"
44,3583,"array([4.77299019, 1.53726637])"
45,4689,"array([4.78661406, 1.50475743])"
46,5735,"array([4.6274283 , 1.34328338])"
47,3746,"array([4.6976643 , 1.49097322])"
48,921,"array([4.70419647, 1.42980577])"
49,2640,"array([4.64855543, 1.48079063])"
50,1016,"array([4.78112203, 1.54038411])"
51,637,"array([4.76013057, 1.50206034])"
52,4367,"array([4.83764038, 1.5330346 ])"
53,2593,"array([4.84929982, 1.57135905])"
54,4774,"array([4.70197858, 1.43888737])"
55,2494,"array([4.8210995 , 1.53499406])"
56,1067,"array([4.9080002 , 1.29174443])"
57,2471,"array([4.72420679, 1.45080946])"
58,1671,"array([4.74877854, 1.50986589])"
59,3220,"array([4.67736648, 1.44399217])"
60,1322,"array([4.71526465, 1.53124471])"
61,772,"array([4.72059659, 1.42012861])"
62,10,"array([3.70550276, 1.68360643])"
63,394,"array([3.62351078, 1.69164598])"
64,3454,"array([3.65999986, 1.74500344])"
65,674,"array([3.93468197, 1.60547295])"
66,1572,"array([3.56304754, 1.70227032])"
67,3634,"array([3.94292843, 1.5880156 ])"
68,4572,"array([3.67090521, 1.72494245])"
69,4653,"array([3.60003498, 1.70580846])"
70,4685,"array([3.6461438 , 1.71956555])"
71,4079,"array([3.68734359, 1.74210414])"
72,4483,"array([3.62656276, 1.70714236])"
73,1278,"array([3.62376133, 1.72592522])"
74,13,"array([4.65267453, 1.33494857])"
75,2527,"array([4.71983361, 1.47006568])"
76,904,"array([4.76578894, 1.39190974])"
77,1604,"array([4.61586914, 1.28811047])"
78,18,"array([5.23584112, 1.50652118])"
79,1402,"array([5.32761785, 1.53382199])"
80,21,"array([3.87800497, 0.86752749])"
81,3044,"array([3.93266172, 0.88335488])"
82,2037,"array([3.90674817, 0.8311217 ])"
83,4063,"array([3.90370649, 0.86042668])"
84,4650,"array([3.91437066, 0.86200598])"
85,4853,"array([3.91709685, 0.84559352])"
86,3005,"array([3.90118246, 0.83345746])"
87,1497,"array([3.88672901, 0.8656188 ])"
88,3050,"array([3.88981735, 0.80640395])"
89,768,"array([3.8932798 , 0.87058019])"
90,1754,"array([3.88882295, 0.84870164])"
91,3200,"array([3.87279719, 0.84096536])"
92,3470,"array([3.90930875, 0.86611502])"
93,2699,"array([3.92053949, 0.86333501])"
94,2440,"array([3.90525201, 0.84145887])"
95,1232,"array([3.90473061, 0.84801435])"
96,1085,"array([3.87947575, 0.84453159])"
97,3112,"array([3.89616709, 0.84605988])"
98,3948,"array([3.93390865, 0.84208847])"
99,2090,"array([3.90940096, 0.83771897])"
100,3692,"array([3.88334689, 0.85189578])"
101,4455,"array([3.88239851, 0.83025695])"
102,2533,"array([3.88118263, 0.85871914])"
103,1829,"array([3.90941564, 0.84338313])"
104,462,"array([3.86680976, 0.84709261])"
105,1713,"array([3.87713249, 0.85145446])"
106,1922,"array([3.888908 , 0.8565457])"
107,30,"array([4.63482881, 1.51103223])"
108,4765,"array([4.65013415, 1.54333114])"
109,2166,"array([4.60863813, 1.56428913])"
110,727,"array([4.59424625, 1.47034543])"
111,4307,"array([4.56379894, 1.55427772])"
112,733,"array([4.62353534, 1.57562917])"
113,1931,"array([4.69872631, 1.51301159])"
114,5349,"array([4.640859 , 1.4432639])"
115,3985,"array([4.56817173, 1.53858152])"
116,2452,"array([4.63487253, 1.56644115])"
117,4966,"array([4.5902976 , 1.45463575])"
118,3415,"array([4.62203604, 1.53849424])"
119,1270,"array([4.58596352, 1.5051116 ])"
120,3622,"array([4.6765676, 1.4079229])"
121,4727,"array([4.55633195, 1.53714626])"
122,1447,"array([4.72132914, 1.4602762 ])"
123,1917,"array([4.60392818, 1.47528741])"
124,3548,"array([4.61985582, 1.56265994])"
125,2945,"array([4.72618631, 1.5448082 ])"
126,31,"array([4.97917978, 1.44317913])"
127,3128,"array([4.99153726, 1.31611964])"
128,36,"array([4.80341731, 1.23933985])"
129,2208,"array([4.81087771, 1.1092468 ])"
130,5309,"array([4.63489924, 1.27615115])"
131,4608,"array([4.77187891, 1.34038809])"
132,4996,"array([4.79186679, 1.13058363])"
133,3464,"array([4.87619415, 1.15597962])"
134,3752,"array([4.7192334 , 1.35965685])"
135,2401,"array([4.75865224, 1.14552688])"
136,5684,"array([4.88888465, 1.15587526])"
137,1432,"array([4.88396308, 1.21790577])"
138,4269,"array([4.91144523, 1.25750715])"
139,20,"array([4.87297997, 1.1715906 ])"
140,4596,"array([4.95541133, 1.17759892])"
141,1147,"array([4.87153581, 1.12076272])"
142,1230,"array([4.90683909, 1.19228222])"
143,3616,"array([4.72720194, 1.40848967])"
144,1231,"array([4.96433993, 1.18102851])"
145,4172,"array([4.89566699, 1.1669888 ])"
146,2660,"array([4.71126298, 1.45730649])"
147,4213,"array([4.62130398, 1.30561691])"
148,5755,"array([4.88770844, 1.13797097])"
149,5441,"array([4.8764461 , 1.19780553])"
150,1780,"array([4.94337899, 1.16391486])"
151,4029,"array([4.85772543, 1.22031328])"
152,3644,"array([4.6492634 , 1.23274999])"
153,3696,"array([4.91158309, 1.15237801])"
154,5244,"array([4.85155246, 1.16049672])"
155,38,"array([4.15277527, 0.95764338])"
156,1592,"array([4.18548617, 0.95651035])"
157,4542,"array([4.14335973, 0.95320211])"
158,1784,"array([4.10670543, 0.99426285])"
159,4607,"array([4.11600284, 0.94113873])"
160,2178,"array([4.10379646, 0.96475587])"
161,5513,"array([4.14686876, 0.93902916])"
162,5747,"array([4.12148841, 0.9607956 ])"
163,4324,"array([4.12552959, 0.96700472])"
164,1654,"array([4.11001107, 0.94588701])"
165,3413,"array([4.12975808, 0.93460398])"
166,1330,"array([4.15589366, 0.96490752])"
167,2434,"array([4.13398508, 0.95738707])"
168,4832,"array([4.12249777, 0.98312798])"
169,4739,"array([4.13615705, 0.95033794])"
170,2809,"array([4.12834317, 0.95730836])"
171,1259,"array([4.13474176, 0.98630315])"
172,3010,"array([4.13758759, 0.95512562])"
173,3839,"array([4.1481876 , 0.95927686])"
174,170,"array([4.1512117 , 0.98984323])"
175,5300,"array([4.13179398, 0.91954006])"
176,1185,"array([4.12087368, 0.94902519])"
177,3274,"array([4.13624584, 0.96419575])"
178,2977,"array([4.14233954, 0.91902817])"
179,3907,"array([4.11074909, 0.92437227])"
180,4675,"array([4.13386784, 0.96740571])"
181,976,"array([4.13402483, 0.93933881])"
182,1982,"array([4.11188094, 0.9641461 ])"
183,478,"array([4.15154161, 0.97777702])"
184,347,"array([4.08651632, 0.95312107])"
185,2387,"array([4.13216054, 0.96117001])"
186,5284,"array([4.16382396, 0.95938491])"
187,4199,"array([4.10870016, 0.95145028])"
188,5285,"array([4.10197282, 0.95937203])"
189,712,"array([4.14126046, 0.99509883])"
190,1693,"array([4.09793279, 0.99482608])"
191,3624,"array([4.1271815 , 0.97139531])"
192,39,"array([4.83306907, 1.224636  ])"
193,476,"array([4.86014877, 1.36481816])"
194,42,"array([3.5368404 , 1.11004691])"
195,3028,"array([3.54316394, 1.16978939])"
196,44,"array([5.0805088 , 1.31597926])"
197,2905,"array([5.09991528, 1.45817383])"
198,46,"array([4.83361743, 1.44019823])"
199,5481,"array([4.90455922, 1.52889842])"
200,2976,"array([4.88209654, 1.29777714])"
201,276,"array([4.78872105, 1.49429591])"
202,5620,"array([4.77475561, 1.55253594])"
203,868,"array([4.80975155, 1.51689064])"
204,2224,"array([4.88772564, 1.50451478])"
205,1409,"array([4.85041888, 1.46985293])"
206,47,"array([4.15944551, 0.9357838 ])"
207,5521,"array([4.12285166, 0.93517592])"
208,5025,"array([4.15492434, 0.9170526 ])"
209,3355,"array([4.07529803, 0.95629506])"
210,2734,"array([4.13378117, 0.98086167])"
211,5400,"array([4.13835841, 0.94563468])"
212,2880,"array([4.13438562, 0.92790562])"
213,721,"array([4.11988336, 0.98658742])"
214,1910,"array([4.17328447, 0.90872465])"
215,2887,"array([4.12382457, 0.91786239])"
216,4312,"array([4.16775287, 0.92438278])"
217,191,"array([4.19084587, 0.92267065])"
218,1455,"array([4.13858444, 0.93699113])"
219,801,"array([4.12983918, 0.96957584])"
220,1614,"array([4.14128503, 0.94180362])"
221,5772,"array([4.10119157, 0.91597167])"
222,3054,"array([4.11447431, 0.96127663])"
223,4979,"array([4.13857661, 0.93186566])"
224,894,"array([4.17593913, 0.95067431])"
225,2897,"array([4.11078062, 0.9759002 ])"
226,3660,"array([4.12587243, 0.98022704])"
227,1376,"array([4.14569495, 0.97059171])"
228,3374,"array([4.14322082, 0.94868055])"
229,4924,"array([4.14811172, 0.91720176])"
230,1640,"array([4.15359412, 0.9305502 ])"
231,4537,"array([4.16240963, 0.9185442 ])"
232,4025,"array([4.14273934, 0.96028175])"
233,3885,"array([4.14789642, 0.93354274])"
234,3384,"array([4.16651659, 0.908033  ])"
235,299,"array([4.12826169, 0.92354881])"
236,1583,"array([4.19345688, 0.93200586])"
237,4604,"array([4.18297443, 0.92944379])"
238,1384,"array([4.12626079, 0.92933735])"
239,5468,"array([4.15409155, 0.90194291])"
240,4672,"array([4.09884294, 0.96698612])"
241,1589,"array([4.17485374, 0.925439  ])"
242,3121,"array([4.17763768, 0.90411208])"
243,48,"array([4.004035  , 1.15272017])"
244,2071,"array([4.00364392, 1.03592354])"
245,5472,"array([3.99254552, 1.25202612])"
