# index, name, _pos
0,2,"array([1.14819558, 1.69793343])"
1,176,"array([1.15553134, 1.71305502])"
2,1340,"array([1.16674305, 1.68103196])"
3,1130,"array([1.1272485 , 1.69629392])"
4,534,"array([1.16510736, 1.72543056])"
5,925,"array([1.13208188, 1.6840983 ])"
6,251,"array([1.13652573, 1.68224128])"
7,285,"array([1.09174727, 1.67373507])"
8,932,"array([1.14892964, 1.72595516])"
9,200,"array([1.14841283, 1.70573034])"
10,759,"array([1.14720466, 1.73254214])"
11,1144,"array([1.15547166, 1.73405045])"
12,376,"array([1.13903125, 1.71472983])"
13,487,"array([1.1385871 , 1.73921317])"
14,855,"array([1.12867785, 1.6903556 ])"
15,1012,"array([1.15778479, 1.73111948])"
16,59,"array([1.15839868, 1.67291599])"
17,438,"array([1.13629478, 1.72769111])"
18,969,"array([1.16081999, 1.68866575])"
19,489,"array([1.13737473, 1.70685255])"
20,318,"array([1.12056551, 1.70711885])"
21,1201,"array([1.14153251, 1.69256269])"
22,490,"array([1.15826777, 1.7162999 ])"
23,798,"array([1.13482314, 1.73695498])"
24,1419,"array([1.16318705, 1.70792968])"
25,1224,"array([1.13659351, 1.69812512])"
26,589,"array([1.17641349, 1.72002914])"
27,1405,"array([1.12838647, 1.71182547])"
28,341,"array([1.08060808, 1.68240788])"
29,420,"array([1.13800182, 1.72080817])"
30,1040,"array([1.07913952, 1.66998258])"
31,1284,"array([1.13029792, 1.72048649])"
32,133,"array([1.10938543, 1.69328899])"
33,1329,"array([1.1239655 , 1.68958324])"
34,1289,"array([1.08889908, 1.72331305])"
35,620,"array([1.18486945, 1.7199871 ])"
36,1209,"array([1.13061128, 1.72581224])"
37,1083,"array([1.12391215, 1.70936877])"
38,100,"array([1.14384694, 1.71394791])"
39,415,"array([1.12832554, 1.67673569])"
40,111,"array([1.15290052, 1.72863144])"
41,137,"array([1.14113939, 1.7105375 ])"
42,366,"array([1.12629232, 1.72833116])"
43,173,"array([1.13328041, 1.70942729])"
44,951,"array([1.17697309, 1.69942432])"
45,640,"array([1.11426182, 1.73695685])"
46,1027,"array([1.09083638, 1.70707664])"
47,1346,"array([1.11068174, 1.70427155])"
48,844,"array([1.24102034, 1.7137286 ])"
49,371,"array([1.13721683, 1.71141099])"
50,1065,"array([1.18875674, 1.66323482])"
51,346,"array([1.10861054, 1.70060606])"
52,1159,"array([1.14869342, 1.66667701])"
53,306,"array([1.1169255 , 1.72288952])"
54,1255,"array([1.13777229, 1.75261854])"
55,3,"array([0.85469503, 1.65310729])"
56,689,"array([0.83885174, 1.6719674 ])"
57,1368,"array([0.91988043, 1.67427741])"
58,53,"array([0.88077473, 1.66451665])"
59,215,"array([0.89840018, 1.69579486])"
60,1298,"array([0.83820119, 1.63101185])"
61,56,"array([0.81763582, 1.65022112])"
62,659,"array([0.82850063, 1.64054624])"
63,1208,"array([0.85656398, 1.66355945])"
64,615,"array([0.90572748, 1.67964567])"
65,821,"array([0.8740812, 1.6597488])"
66,4,"array([1.10847963, 1.72625322])"
67,627,"array([1.0849739 , 1.68729219])"
68,434,"array([1.08904762, 1.76339078])"
69,577,"array([0.98842199, 1.68583379])"
70,1260,"array([1.18749082, 1.72634225])"
71,1259,"array([1.21025345, 1.73378816])"
72,752,"array([1.1972208 , 1.71688851])"
73,1393,"array([1.09194757, 1.72887519])"
74,241,"array([1.16806483, 1.70373579])"
75,595,"array([1.10526876, 1.71572526])"
76,1428,"array([1.20339725, 1.71468727])"
77,473,"array([1.22859429, 1.73804442])"
78,1067,"array([1.00356814, 1.68885754])"
79,1343,"array([0.94514071, 1.73647447])"
80,930,"array([1.14208577, 1.73300966])"
81,1408,"array([1.04932865, 1.70923795])"
82,543,"array([1.21787449, 1.72666243])"
83,1282,"array([1.10877906, 1.73871582])"
84,5,"array([0.9035664 , 1.78109429])"
85,91,"array([0.88893069, 1.78229515])"
86,299,"array([0.89839538, 1.79735316])"
87,629,"array([0.92783205, 1.74164458])"
88,307,"array([0.94664132, 1.78568746])"
89,1247,"array([0.90976747, 1.78652072])"
90,669,"array([0.89386156, 1.77501833])"
91,66,"array([0.87342641, 1.78773937])"
92,1060,"array([0.87319011, 1.81125453])"
93,388,"array([0.90593847, 1.79317781])"
94,509,"array([0.90117681, 1.77265457])"
95,52,"array([0.96900478, 1.78829274])"
96,828,"array([0.89713429, 1.78962266])"
97,41,"array([0.88311172, 1.76543522])"
98,634,"array([0.91762282, 1.73981568])"
99,986,"array([0.86741288, 1.79945574])"
100,6,"array([1.1940417 , 1.80539753])"
101,430,"array([1.18025242, 1.81149057])"
102,973,"array([1.18955564, 1.79910269])"
103,1133,"array([1.17914533, 1.76439948])"
104,1290,"array([1.17364268, 1.75515538])"
105,548,"array([1.12793221, 1.76927921])"
106,939,"array([1.22115165, 1.80650071])"
107,1277,"array([1.15968405, 1.77738878])"
108,1236,"array([1.14204784, 1.7409439 ])"
109,708,"array([1.16186346, 1.79912494])"
110,7,"array([0.99434299, 1.66520313])"
111,702,"array([0.93242075, 1.69468681])"
112,601,"array([1.07322083, 1.62095057])"
113,316,"array([0.9667921 , 1.67167634])"
114,602,"array([0.91778239, 1.6950926 ])"
115,211,"array([0.94868234, 1.68455651])"
116,49,"array([1.09418901, 1.62017548])"
117,1253,"array([1.09407714, 1.66526046])"
118,9,"array([1.1984944 , 1.76818238])"
119,731,"array([1.17554479, 1.70579138])"
120,1004,"array([1.16095391, 1.74810734])"
121,1334,"array([1.16599485, 1.73604357])"
122,468,"array([1.2013653 , 1.74823776])"
123,878,"array([1.15025155, 1.75361813])"
124,1261,"array([1.16720189, 1.74682941])"
125,1016,"array([1.17767039, 1.77135234])"
126,265,"array([1.23018415, 1.75364676])"
127,1390,"array([1.20519492, 1.75644083])"
128,806,"array([1.20305627, 1.78491163])"
129,335,"array([1.16708364, 1.75384317])"
130,1168,"array([1.15971319, 1.85472984])"
131,948,"array([1.16820313, 1.77061265])"
132,1,"array([1.19725918, 1.75444395])"
133,830,"array([1.15297682, 1.7772963 ])"
134,1399,"array([1.18123191, 1.72497186])"
135,40,"array([1.168602  , 1.74288065])"
136,268,"array([1.13435625, 1.7501896 ])"
137,10,"array([1.00924298, 1.79281301])"
138,630,"array([1.04398686, 1.75141914])"
139,365,"array([0.95922065, 1.78122765])"
140,1193,"array([1.07939658, 1.70907091])"
141,11,"array([1.11899464, 1.67467848])"
142,775,"array([1.09667252, 1.68388737])"
143,1294,"array([1.14298384, 1.66188486])"
144,776,"array([1.11185997, 1.6082973 ])"
145,1161,"array([0.99870637, 1.70892869])"
146,1141,"array([1.1052812 , 1.68473958])"
147,1143,"array([1.09462359, 1.63976954])"
148,357,"array([1.14131222, 1.67504057])"
149,1364,"array([1.16232797, 1.67698848])"
150,852,"array([1.17378478, 1.66820158])"
151,360,"array([1.1445219 , 1.70148071])"
152,315,"array([1.14023769, 1.6577778 ])"
153,743,"array([1.13363795, 1.66784024])"
154,385,"array([1.18443251, 1.6789698 ])"
155,1120,"array([1.12523109, 1.68581015])"
156,1163,"array([1.08907188, 1.7474405 ])"
157,205,"array([1.0200668 , 1.67015634])"
158,832,"array([1.09858103, 1.71146094])"
159,1038,"array([1.11596733, 1.69808948])"
160,1206,"array([1.13281418, 1.68867944])"
161,834,"array([1.18645282, 1.69416564])"
162,564,"array([1.1446074 , 1.60875599])"
163,395,"array([1.15437043, 1.622222  ])"
164,150,"array([1.10348452, 1.65159711])"
165,380,"array([1.19719551, 1.65140982])"
166,837,"array([1.14873883, 1.6269709 ])"
167,381,"array([1.14537227, 1.72052023])"
168,312,"array([1.10489092, 1.63360808])"
169,1043,"array([1.17654272, 1.65910399])"
170,1333,"array([1.06629255, 1.58550763])"
171,325,"array([1.17642327, 1.68086048])"
172,735,"array([1.12101538, 1.70362765])"
173,864,"array([1.17672843, 1.69276973])"
174,1280,"array([1.08638144, 1.60859336])"
175,525,"array([1.0646984 , 1.76969006])"
176,664,"array([1.02058989, 1.70603964])"
177,90,"array([1.10271315, 1.66104077])"
178,1108,"array([1.19029362, 1.67680461])"
179,196,"array([1.17310082, 1.65371849])"
180,319,"array([1.15810401, 1.68015976])"
181,751,"array([1.04376182, 1.62114542])"
182,12,"array([1.19011323, 1.75260819])"
183,935,"array([1.15997575, 1.75228218])"
184,517,"array([1.15488694, 1.72487518])"
185,737,"array([1.14495384, 1.75745335])"
186,308,"array([1.16812772, 1.72111011])"
187,455,"array([1.15085116, 1.73470955])"
188,1396,"array([1.15067439, 1.74646252])"
189,815,"array([1.1528922 , 1.75735396])"
190,956,"array([1.16170204, 1.72318315])"
191,338,"array([1.15619866, 1.74156161])"
192,877,"array([1.14937634, 1.73977222])"
193,892,"array([1.15902977, 1.72730316])"
194,1157,"array([1.16606495, 1.75731667])"
195,76,"array([1.14789434, 1.71562861])"
196,1266,"array([1.17563246, 1.72814545])"
197,874,"array([1.13769383, 1.76625856])"
198,13,"array([1.12040886, 1.63446488])"
199,1182,"array([1.11322016, 1.65875976])"
200,726,"array([1.11255516, 1.67359198])"
201,1395,"array([1.10887593, 1.68893199])"
202,843,"array([1.14325507, 1.65025216])"
203,848,"array([1.12339357, 1.71445911])"
204,1228,"array([1.11134143, 1.61533846])"
205,1293,"array([1.1210697 , 1.64773887])"
206,1052,"array([1.14140005, 1.62792772])"
207,444,"array([1.12363767, 1.67635847])"
208,32,"array([1.17641816, 1.64776823])"
209,866,"array([1.1714266 , 1.64529541])"
210,566,"array([1.15755846, 1.58791111])"
211,977,"array([1.08914514, 1.64298544])"
212,962,"array([1.06978557, 1.68195038])"
213,1274,"array([1.14106032, 1.63283536])"
214,1211,"array([1.07998848, 1.61424348])"
215,345,"array([1.12864838, 1.65300211])"
216,14,"array([1.02502809, 1.69546312])"
217,588,"array([0.99178444, 1.73977604])"
218,15,"array([1.13688896, 1.78461096])"
219,960,"array([1.13966956, 1.79571893])"
220,576,"array([1.1303824 , 1.83137316])"
221,555,"array([1.13496035, 1.78038702])"
222,983,"array([1.11645659, 1.8135421 ])"
223,48,"array([1.13405338, 1.74638841])"
224,243,"array([1.11679846, 1.80296275])"
225,641,"array([1.13972415, 1.76120359])"
226,1218,"array([1.114238  , 1.76623009])"
227,928,"array([1.16689557, 1.77675893])"
