# source, target, time
0,7,1353307480
0,7,1353307540
0,7,1353307560
0,7,1353307580
0,7,1353307600
0,7,1353307620
0,7,1353307640
0,7,1353308280
0,7,1353308460
0,11,1353308560
0,11,1353308960
0,7,1353308960
0,7,1353308980
0,11,1353309080
0,11,1353309100
0,11,1353309120
0,11,1353309140
0,11,1353309160
0,11,1353309180
0,11,1353309200
0,11,1353309220
0,11,1353309240
0,11,1353309260
0,11,1353309280
0,11,1353309300
0,11,1353309320
0,11,1353309340
0,7,1353309480
0,7,1353309920
0,7,1353310380
0,7,1353310420
0,7,1353310440
0,7,1353310720
0,28,1353311440
0,28,1353311460
0,128,1353311620
0,128,1353311660
0,124,1353311680
0,128,1353311680
0,124,1353311700
0,124,1353311720
0,124,1353311740
0,28,1353311740
0,124,1353311760
0,28,1353311760
0,28,1353311780
0,28,1353311800
0,28,1353311840
0,28,1353311880
0,28,1353311900
0,28,1353311920
0,28,1353311960
0,28,1353311980
0,28,1353312020
0,28,1353312100
0,28,1353312160
0,28,1353312180
0,7,1353312200
0,7,1353312220
0,45,1353312240
0,7,1353312360
0,11,1353312360
0,7,1353312380
0,11,1353312440
0,11,1353312600
0,11,1353312660
0,11,1353313600
0,7,1353314480
0,11,1353314720
0,11,1353314980
0,11,1353315100
0,11,1353315940
0,11,1353315960
0,11,1353316180
0,11,1353317060
0,11,1353317220
0,11,1353317300
0,11,1353317780
0,11,1353317800
0,11,1353317820
0,11,1353317880
0,11,1353318020
0,11,1353318940
0,7,1353318940
0,114,1353319420
0,114,1353319480
0,28,1353321600
0,114,1353322060
0,114,1353322140
0,28,1353322160
0,114,1353322180
0,114,1353322200
0,114,1353322220
0,114,1353322240
0,28,1353322260
0,28,1353322420
0,28,1353322440
0,114,1353322440
0,28,1353322460
0,114,1353322460
0,114,1353322480
0,28,1353322500
0,124,1353322500
0,114,1353322500
0,124,1353322520
0,114,1353322520
0,114,1353322540
0,124,1353322580
0,124,1353322600
0,114,1353322600
0,114,1353322620
0,114,1353322640
0,47,1353322740
0,74,1353326360
0,14,1353326500
0,45,1353326520
0,168,1353326540
0,11,1353326580
0,68,1353326580
0,11,1353326640
0,11,1353326800
0,11,1353327080
0,11,1353327700
0,11,1353327820
0,7,1353327820
0,11,1353327860
0,7,1353327940
0,7,1353327960
0,11,1353327980
0,11,1353328000
0,11,1353328040
0,11,1353328060
0,11,1353328120
0,11,1353328140
0,11,1353328200
0,11,1353328600
0,11,1353328620
0,11,1353328640
0,11,1353328820
0,11,1353328840
0,11,1353328980
0,11,1353329000
0,11,1353329040
0,11,1353329060
0,11,1353329080
0,11,1353329100
0,11,1353329120
0,11,1353329140
0,7,1353331100
0,7,1353331360
0,7,1353331380
0,7,1353331440
0,7,1353331460
0,11,1353331580
0,11,1353331600
0,11,1353331620
0,11,1353331660
0,11,1353331680
0,11,1353331900
0,11,1353332020
0,11,1353333340
0,11,1353333720
0,11,1353333780
0,11,1353333800
0,11,1353334100
0,11,1353390200
0,11,1353390440
0,42,1353390440
0,11,1353390820
0,11,1353391120
0,11,1353391420
0,11,1353391440
0,11,1353391500
0,11,1353391580
0,11,1353391600
0,11,1353392260
0,11,1353392360
0,11,1353393120
0,11,1353393140
0,11,1353393200
0,11,1353393380
0,11,1353393880
0,11,1353393900
0,11,1353394600
0,11,1353394760
0,11,1353394780
0,11,1353395100
0,11,1353395400
0,11,1353395420
0,11,1353395500
0,11,1353395540
0,11,1353395560
0,11,1353395620
0,11,1353395640
0,11,1353395660
0,11,1353395760
0,11,1353395820
0,11,1353395840
0,11,1353395860
0,11,1353395920
0,11,1353396000
0,11,1353396040
0,11,1353396060
0,11,1353396220
0,11,1353396280
0,11,1353396520
0,11,1353396620
0,11,1353396740
0,11,1353396800
0,11,1353397260
0,11,1353397280
0,11,1353397300
0,11,1353397320
0,11,1353397340
0,11,1353397360
0,11,1353397380
0,11,1353397420
0,11,1353397600
0,11,1353397620
0,11,1353397680
0,11,1353397740
0,11,1353397760
0,11,1353397780
0,11,1353397880
0,11,1353397900
0,11,1353397920
0,11,1353397940
0,11,1353398140
0,11,1353398160
0,7,1353398160
0,45,1353398180
0,42,1353398420
0,11,1353398460
0,11,1353398480
0,11,1353398540
0,11,1353398580
0,11,1353398600
0,11,1353398620
0,11,1353398680
0,11,1353398700
0,11,1353398720
0,11,1353398760
0,25,1353407860
0,28,1353407940
0,28,1353407980
0,28,1353408020
0,45,1353412620
0,45,1353412640
0,8,1353412700
0,8,1353412720
0,45,1353412760
0,8,1353412840
0,8,1353413620
0,8,1353414340
0,8,1353415620
0,8,1353418260
