# index, name, code, _pos
0,Eisenstadt <10101>,GRBEZAKT-101,"array([-2.52353696,  2.36717477])"
1,Rust <10201>,GRBEZAKT-102,"array([-2.53882854,  2.3593418 ])"
2,Breitenbrunn am Neusiedler See <10301>,GRBEZAKT-103,"array([-2.53173521,  2.35816042])"
3,Donnerskirchen <10302>,GRBEZAKT-103,"array([-2.52254803,  2.3661862 ])"
4,Großhöflein <10303>,GRBEZAKT-103,"array([-2.53239054,  2.35211232])"
5,Hornstein <10304>,GRBEZAKT-103,"array([-2.53080982,  2.36605161])"
6,Klingenbach <10305>,GRBEZAKT-103,"array([-2.533567  ,  2.35345175])"
7,Mörbisch am See <10307>,GRBEZAKT-103,"array([-2.53056652,  2.36964495])"
8,Müllendorf <10308>,GRBEZAKT-103,"array([-2.53683333,  2.35232507])"
9,Neufeld an der Leitha <10309>,GRBEZAKT-103,"array([-2.52527151,  2.3608934 ])"
10,Oggau am Neusiedler See <10310>,GRBEZAKT-103,"array([-2.53744404,  2.34953236])"
11,Oslip <10311>,GRBEZAKT-103,"array([-2.54158535,  2.35186054])"
12,Purbach am Neusiedler See <10312>,GRBEZAKT-103,"array([-2.5232017 ,  2.35567555])"
13,Sankt Margarethen im Burgenland <10313>,GRBEZAKT-103,"array([-2.53128194,  2.3535945 ])"
14,Schützen am Gebirge <10314>,GRBEZAKT-103,"array([-2.52024352,  2.34779473])"
15,Siegendorf <10315>,GRBEZAKT-103,"array([-2.52709358,  2.36048604])"
16,Steinbrunn <10316>,GRBEZAKT-103,"array([-2.52906769,  2.36230638])"
17,Trausdorf an der Wulka <10317>,GRBEZAKT-103,"array([-2.53649507,  2.36163847])"
18,Wimpassing an der Leitha <10318>,GRBEZAKT-103,"array([-2.52591712,  2.35894679])"
19,Wulkaprodersdorf <10319>,GRBEZAKT-103,"array([-2.53384539,  2.36310556])"
20,Zillingtal <10322>,GRBEZAKT-103,"array([-2.53618992,  2.35382563])"
21,Zagersdorf <10323>,GRBEZAKT-103,"array([-2.53965375,  2.35108508])"
22,Kukmirn <10408>,GRBEZAKT-104,"array([-2.53999954,  2.36985198])"
23,Draßburg <10601>,GRBEZAKT-106,"array([-2.53318936,  2.34884737])"
24,Forchtenstein <10602>,GRBEZAKT-106,"array([-2.52968509,  2.35708381])"
25,Loipersbach im Burgenland <10604>,GRBEZAKT-106,"array([-2.54462471,  2.35140913])"
26,Marz <10605>,GRBEZAKT-106,"array([-2.54112916,  2.35863036])"
27,Mattersburg <10606>,GRBEZAKT-106,"array([-2.5284496 ,  2.36459737])"
28,Neudörfl <10607>,GRBEZAKT-106,"array([-2.52647725,  2.36455141])"
29,Pöttelsdorf <10608>,GRBEZAKT-106,"array([-2.54698129,  2.34474191])"
