# index, meta, _pos
0,http://www.google.com,"array([ -2.5705138 , -10.76381965])"
1,http://www.google.com/advanced_search,"array([ -2.54099118, -10.14489186])"
2,http://www.google.com/imghp,"array([ -2.65172269, -10.30063023])"
3,http://www.google.com/intl/en/about.html,"array([ -2.94158781, -10.31781332])"
4,http://www.google.com/intl/en/ads/,"array([ -2.73582995, -10.45025803])"
5,http://www.google.com/intl/en/options/,"array([ -2.98283936, -10.4018064 ])"
6,http://www.google.com/intl/en/services/,"array([ -2.70632461, -10.65660477])"
7,http://www.google.com/language_tools,"array([ -2.67825615, -10.4719964 ])"
8,http://www.google.com/maps,"array([ -2.75741472, -10.4258986 ])"
9,http://www.google.com/preferences,"array([ -2.75492699, -10.4472629 ])"
10,http://www.google.com/url,"array([ -2.70976447, -10.45232021])"
11,https://www.google.com/accounts/Login,"array([ -2.703497  , -10.43671768])"
12,http://www.google.com/Easter/credit.html,"array([ -1.63441833, -10.58973322])"
13,http://www.google.com/about.html,"array([ -2.80493097, -10.85060951])"
14,http://www.google.com/holidaylogos.html,"array([ -1.60223011, -10.65379943])"
15,http://www.google.com/Easter/feature_easter.html,"array([ -1.59519061, -10.72931284])"
16,http://www.google.com/a,"array([ -4.50216244, -10.73392553])"
17,http://www.google.com/a/help/intl/en/admins/overview.html,"array([ -4.14295591, -10.92948124])"
18,http://www.google.com/a/help/intl/en/admins/program_policies.html,"array([ -4.4598801 , -10.80428553])"
19,http://www.google.com/a/help/intl/en/admins/terms.html,"array([ -4.10908839, -10.90812638])"
20,http://www.google.com/a/interest,"array([ -4.35109454, -10.73269881])"
21,http://www.google.com/a/interestPremium,"array([ -4.25917833, -10.73642785])"
22,http://www.google.com/edu/,"array([ -5.1537432 , -10.75897718])"
23,http://www.google.com/support/a,"array([ -4.01201042, -10.6603137 ])"
24,https://www.google.com/hosted/interest,"array([ -4.4449964 , -10.65156169])"
25,http://www.google.com/a/edu/,"array([ -4.22983337, -10.8900536 ])"
26,http://www.google.com/a/help/intl/en/edu/benefits.html,"array([ -4.18055508, -10.96859715])"
27,http://www.google.com/a/help/intl/en/edu/details.html,"array([ -4.20331292, -10.92138256])"
28,http://www.google.com/a/help/intl/en/edu/features.html,"array([ -4.2134396 , -10.85031674])"
29,http://www.google.com/a/help/intl/en/edu/seminars.html,"array([ -4.23060837, -10.80017013])"
30,http://www.google.com/a/help/intl/en/admins/testimonials.html,"array([ -4.69724407, -10.84455766])"
31,http://www.google.com/a/help/intl/en/admins/tour.html,"array([ -4.67509461, -10.78057804])"
32,http://www.google.com/a/help/intl/en/users/privacy.html,"array([ -4.11823192, -10.50663932])"
33,http://www.google.com/search,"array([ -2.55963559, -11.24287358])"
34,http://www.google.com/a/help/intl/en/users/privacy_notice.html,"array([ -4.10277791, -10.4536566 ])"
35,http://www.google.com/a/help/intl/en/users/terms.html,"array([ -3.85669244, -10.60247252])"
36,http://www.google.com/apis/homepage/,"array([ -3.6540555 , -10.38827186])"
37,http://www.google.com/apis/homepage/terms.html,"array([ -3.72495559, -10.70643336])"
38,http://www.google.com/mail/help/terms_of_use.html,"array([ -3.86196851, -10.80657125])"
39,http://www.google.com/permissions/trademarks.html,"array([ -3.28700906, -11.7921347 ])"
40,http://www.google.com/privacy.html,"array([ -3.20416014, -11.0693808 ])"
41,http://www.google.com/terms_of_service.html,"array([ -3.28510808, -11.09000473])"
42,https://www.google.com/adsense/localized-terms,"array([ -3.72381857, -11.16769773])"
43,http://www.google.com/a/help/intl/en/edu/administration.html,"array([ -4.19050254, -10.8112515 ])"
44,http://www.google.com/a/help/intl/en/edu/calendar.html,"array([ -4.19569434, -10.7482471 ])"
45,http://www.google.com/a/help/intl/en/edu/gmail.html,"array([ -4.18189798, -10.88206258])"
46,http://www.google.com/a/help/intl/en/edu/talk.html,"array([ -4.16561905, -10.78525847])"
47,https://www.google.com/support/a,"array([ -4.17145191, -10.68156374])"
48,http://www.google.com/a/help/intl/en/admin/terms.html,"array([ -5.06290454, -11.18652345])"
49,http://www.google.com/googlecalendar/event_publisher_guide.html,"array([ -4.15772207, -10.42045963])"
50,http://www.google.com/a/help/intl/en/edu/tour.html,"array([ -4.16437548, -10.84240959])"
51,http://www.google.com/a/help/intl/en/users/program_policies.html,"array([ -4.39419952, -10.54362862])"
52,http://www.google.com/googlecalendar/privacy_policy.html,"array([ -3.61517776, -10.30305839])"
53,http://www.google.com/help/privacy_fusionph.html,"array([ -3.15089433, -10.48810641])"
54,http://www.google.com/intl/en/privacypolicy.html,"array([ -3.78446621, -10.57444048])"
55,http://www.google.com/talk/privacy.html,"array([ -3.1753883 , -10.45413132])"
